Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,41.17,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,00145,0,1
0,15.83,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,00100,0,1
0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,00000,0,1
1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,00000,0,1
1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,00000,0,1
1,42.08,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,00500,10000,1
1,29.25,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,00168,0,1
1,42.0,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,00000,0,1
1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,00000,5000,1
0,36.75,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,00000,4000,1
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,00000,560,1
1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,00434,35,1
1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,00583,713,1
0,23.0,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,00300,551,1
1,27.75,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,00260,500,1
1,54.58,9.415,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,00030,300,1
1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,00000,221,1
1,28.92,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,00000,2283,1
1,29.67,1.415,1,1,Industrials,Black,0.75,1,1,1,0,ByBirth,00240,100,1
1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,00070,0,1
1,56.42,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,00000,15,1
1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,00000,284,1
0,41.0,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth,00455,1236,1
1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,00311,300,1
1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,00216,0,1
1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,00100,0,1
0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,00491,0,1
1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,00280,0,1
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,00400,5800,1
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,00239,200,1
1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,00000,0,1
1,23.33,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth,00160,300,1
1,23.17,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth,00000,0,1
1,44.33,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth,00320,0,1
1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,00711,0,1
1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,00080,0,1
1,56.75,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth,00200,0,1
1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,00250,730,1
0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,00080,400,1
0,20.42,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth,00000,0,1
1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,00120,0,1
1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,00520,50000,1
0,36.0,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth,00000,456,1
1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,00260,15108,1
1,19.42,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth,00080,2954,1
1,35.17,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth,00515,500,1
1,32.33,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,00420,0,0
1,34.83,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth,00000,0,0
0,38.58,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth,00980,0,0
1,44.25,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans,00400,0,0
1,44.83,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth,00160,2,0
1,20.67,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth,00160,0,0
1,34.08,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth,00443,0,0
0,19.17,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth,00160,0,0
1,21.67,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth,00180,20,0
1,21.5,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth,00140,0,0
1,49.58,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,00094,0,0
0,27.67,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans,00368,0,0
1,39.83,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans,00288,0,0
0,28.46,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth,00300,0,0
1,27.25,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth,00200,0,0
1,37.17,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans,00280,0,0
1,28.46,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans,00928,0,0
1,25.67,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth,00188,0,0
1,34.0,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth,00240,0,0
0,49.0,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth,00100,27,0
1,62.5,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth,00112,0,0
1,31.42,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth,00120,0,0
1,28.46,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth,00000,0,0
1,52.33,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth,00200,100,0
1,28.75,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth,00000,225,0
0,28.58,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth,00171,0,0
1,23.0,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth,00180,1,0
1,28.46,0.5,1,1,Energy,Asian,0.835,1,0,0,1,ByOtherMeans,00320,0,0
0,22.5,11.0,0,0,Materials,White,3.0,1,0,0,1,ByBirth,00268,0,0
0,28.5,1.0,1,1,Materials,White,1.0,1,1,2,1,ByBirth,00167,500,0
